Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,lon,lat,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Gulshan,1,New Delhi,"Near Taxi Stand, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.2904437,28.67574,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,25
Barista,1,New Delhi,"18/36, Ground Floor, Main Market, East Patel Nagar, New Delhi",East Patel Nagar,"East Patel Nagar, New Delhi",77.1731083,28.6455589,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,44
Sushi Masa,94,Jakarta,"Jl. Tuna Raya No. 5, Penjaringan",Penjaringan,"Penjaringan, Jakarta",106.800144,-6.101298,500000,Indonesian Rupiah(IDR),No,No,No,No,3,4,Dark Green,Excellent,605
Pizza Hut Delivery,1,New Delhi,"Food Capital, Worldmark 1, Aerocity, New Delhi","Worldmark 1, Aerocity","Worldmark 1, Aerocity, New Delhi",77.12142371,28.54989546,800,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
Kumar Sweet House,1,New Delhi,"5, Gandhi Market, Minto Road, Daryaganj, New Delhi",Daryaganj,"Daryaganj, New Delhi",77.2444219,28.6452519,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Riyaz Chicken Corner,1,New Delhi,"1A, Pocket A-3, Mayur Vihar Phase 3, New Delhi",Mayur Vihar Phase 3,"Mayur Vihar Phase 3, New Delhi",77.337972,28.6133824,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Punjabi By Nature,1,Noida,"P-19, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32484244,28.56900605,2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,3,Yellow,Good,770
Bikaner Sweets & Bakers,1,Faridabad,"A-1, Shiv Durga Vihar, Near Eros Garden, Suraj Kund, Faridabad",Suraj Kund,"Suraj Kund, Faridabad",77.2940734,28.4938048,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
The Great Kabab Factory,1,Noida,"Ansal's Fortune Arcade, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.3218102,28.57210424,2200,Indian Rupees(Rs.),Yes,No,No,No,4,3,Yellow,Good,540
Chef Sack Kitchen,1,Gurgaon,"Khasra 3898/3173, Basement, Opposite Shubh Vatika, Atul Kataria Chowk, Sector-12A, Near, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",0.0,0.0,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,7
PitStop BrewPub,1,Gurgaon,"Oysters Beach, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0715571,28.4621449,1250,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,166
Fat Lulu's,1,New Delhi,"Unit 6, The Square, Select Citywalk Mall, Saket, New Delhi","Select Citywalk Mall, Saket","Select Citywalk Mall, Saket, New Delhi",77.21956339,28.52923878,1250,Indian Rupees(Rs.),No,Yes,No,No,3,3,Yellow,Good,298
Khan Chacha,1,New Delhi,"FC 15, Level 2, Worldmark 1, Near Aerocity Metro Station, Aerocity, New Delhi","Worldmark 1, Aerocity","Worldmark 1, Aerocity, New Delhi",77.12179529,28.5503472,650,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
Today Pizza,1,New Delhi,"E-1, Khyala Road, Vishnu Garden, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.1031681,28.6490554,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
KindBhutani's,1,New Delhi,"41, New Market, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.0959301,28.6367945,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
CHA,1,Gurgaon,"Shop 99, HUDA Market, Sector 32, Near Sector 31, Gurgaon",Sector 31,"Sector 31, Gurgaon",77.0446703,28.4457809,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,7
De Bone Chicken,1,New Delhi,"20, J Block, Murga Market, Near Water Tank, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Ashok Vihar Phase 1, New Delhi",77.1730688,28.6872543,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Chicken Addiction,1,New Delhi,"Shop 65, DDA Market, J Block, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.12061569,28.64112418,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,21
Meet You There,1,New Delhi,"House 54-A, H Block, Main Market, Shakarpur, New Delhi",Shakarpur,"Shakarpur, New Delhi",77.2804814,28.6300045,500,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,94
Yellowtail,1,New Delhi,"WZ-884, Near Punjab & Sind Bank, Rani Bagh, Pitampura, New Delhi",Pitampura,"Pitampura, New Delhi",77.1304079,28.6838684,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,19
Shanta Fresh Fish Corner,1,New Delhi,"19/2, Prem Nagar, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.0965824,28.635497,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,9
Wah Ji Wah,1,New Delhi,"B-35, Gurunanak Pura, Near V3S Mall, Laxmi Nagar, New Delhi",Laxmi Nagar,"Laxmi Nagar, New Delhi",77.2850298,28.6371081,500,Indian Rupees(Rs.),No,Yes,No,No,2,2,Red,Poor,120
Chinese Delight,1,New Delhi,"C-Block, Main Road, Yamuna Vihar, Opposite Universal Brain Academy, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.2720913,28.6999209,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Bikaner Sweets,1,New Delhi,"Shop 7, Pocket H Market, Sarita Vihar, New Delhi",Sarita Vihar,"Sarita Vihar, New Delhi",77.2919183,28.5353106,100,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,9
The Beer Cafe,1,New Delhi,"218 & 219, 2nd Floor, Moments Mall, Kirti Nagar, New Delhi","Moments Mall, Kirti Nagar","Moments Mall, Kirti Nagar, New Delhi",77.1466576,28.6570681,1200,Indian Rupees(Rs.),Yes,No,No,No,3,3,Yellow,Good,371
Shaketastic,1,New Delhi,"Shop 108, Aggarwal Plaza ,RG Complex 2, Prashant Vihar, New Delhi",Prashant Vihar,"Prashant Vihar, New Delhi",77.1343223,28.7155806,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
KFC,1,New Delhi,"C Block, Main Road, Janakpuri, New Delhi",Janakpuri,"Janakpuri, New Delhi",77.0817882,28.6209459,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,62
Kanshi Ram Chole Kulche Wala,1,New Delhi,"E-195, Naraina Vihar, Naraina, New Delhi",Naraina,"Naraina, New Delhi",77.1559168,28.6242844,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,13
Thai Pepper,216,Macon,"1806 Russell Parkway, Warner Robins, GA 31088",Warner Robins,"Warner Robins, Macon",-83.665557,32.593264,10,Dollar($),No,No,No,No,1,4,Green,Very Good,232
Pind Balluchi,1,Noida,"Shop 215, 2nd Floor, Logix City Centre Mall, Sector 34, Noida",Sector 34,"Sector 34, Noida",77.3536634,28.5743086,900,Indian Rupees(Rs.),Yes,No,No,No,2,2,Orange,Average,7
Subway,1,New Delhi,"31, Central Market, West Punjabi Bagh, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",77.13401467,28.67055843,500,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,167
Giani,1,Faridabad,"125, Near Gurudwara, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",77.3216428,28.3951385,400,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,70
Kettle & Kegs,1,Noida,"Sector 41, Noida",Sector 41,"Sector 41, Noida",77.361455,28.569307,200,Indian Rupees(Rs.),No,Yes,No,No,1,0,White,Not rated,2
Anand Food Factory,1,Noida,"C-68, Sector-2, Noida",Sector 2,"Sector 2, Noida",77.3143909,28.5837833,300,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,4
Castle 9,1,New Delhi,"B-45/47, 1st Floor, Near PVR Plaza, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2194984,28.6348572,1350,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,1099
Tikka Junction,1,New Delhi,"Shop 15 , Central Market, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",77.13270139,28.67064904,750,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,27
Dunkin' Donuts,1,Noida,"3rd Floor, DLF Mall of India, Sector 18, Noida","DLF Mall of India, Sector 18,  Noida","DLF Mall of India, Sector 18,  Noida, Noida",77.32144509,28.5674896,600,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,86
Nukkadwala,1,Gurgaon,"JMD Megapolis, Sector 48, Sohna Road, Gurgaon","JMD Megapolis Mall, Sohna Road","JMD Megapolis Mall, Sohna Road, Gurgaon",77.038187,28.419985,300,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,41
Cigar Lounge - The Oberoi,1,Gurgaon,"The Oberoi, 443, Phase 5, Udyog Vihar, Gurgaon","The Oberoi, Udyog Vihar","The Oberoi, Udyog Vihar, Gurgaon",77.0867995,28.5022869,3000,Indian Rupees(Rs.),No,No,No,No,4,3,Orange,Average,17
Kaveri,1,New Delhi,"12, Hudson Lane, D.D.A. Market, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2052412,28.6946441,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,51
Milan Chole Bhature,1,New Delhi,"1341, Near Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.215591,28.7129957,100,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,12
Hemingway's Island Grill,216,Pensacola,"400 Quietwater Beach Rd, Pensacola Beach, FL 32561",Pensacola Beach,"Pensacola Beach, Pensacola",-87.142602,30.335521,40,Dollar($),No,No,No,No,3,3,Yellow,Good,479
Sethi's The Cake Shop,1,New Delhi,"14/2, Ashok Nagar, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.1049848,28.6372567,150,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,16
Cafe 44,1,Noida,"A15/11, 1st Floor, Sector 44, Noida",Sector 44,"Sector 44, Noida",0.0,0.0,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,4
Punjabi Chaap Corner,1,New Delhi,"Shop 3, 25/6, East Patel Nagar, New Delhi",East Patel Nagar,"East Patel Nagar, New Delhi",77.1746447,28.6440899,300,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,53
D Brown Affairs,1,New Delhi,"Anamika Apartments, IP Extension, New Delhi",IP Extension,"IP Extension, New Delhi",77.2995024,28.6362246,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Cake Symphony,1,New Delhi,"C-1/8, Safdarjung Development Area, SDA, New Delhi",SDA,"SDA, New Delhi",77.1968157,28.5465265,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,15
Frontier,1,New Delhi,"K-9 Block, Main Road, Chander Nagar, New Delhi",Chander Nagar,"Chander Nagar, New Delhi",77.2816637,28.656024,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,10
Tadka,1,Kanpur,"117/K/13, Rave Moti, Gutaiya, Kanpur","Rave Moti, Kakadeo","Rave Moti, Kakadeo, Kanpur",80.299775,26.48154722,1000,Indian Rupees(Rs.),No,No,No,No,3,3,Yellow,Good,97
La Pino'z Pizza,1,Gurgaon,"94-D, Opposite Vatika Towers, Sector-53, Main Golf Course Road, Gurgaon",Golf Course Road,"Golf Course Road, Gurgaon",77.10288294,28.43849033,1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,4,Green,Very Good,259
Cafe Coffee Day,1,Noida,"Ground Floor, OPD Block, Fortis Hospital, B-22, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.3723946,28.618099,450,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Moonshine Cafe & Bar,1,New Delhi,"30, 2nd Floor, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.194159,28.5541314,2400,Indian Rupees(Rs.),No,No,No,No,4,3,Yellow,Good,884
Knight Delight Kafe,1,Gurgaon,"17, Shyam Palace, Baba Prakash Puri Chowk, Old Railway Road, Gurgaon",Old Railway Road,"Old Railway Road, Gurgaon",77.0141435,28.4810609,500,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,12
HTW Bakers,1,New Delhi,"128, Zakir Nagar Main Road, Jogabai Extension, Zakir Nagar, New Delhi",Zakir Nagar,"Zakir Nagar, New Delhi",77.27981217,28.56744249,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Bikanervala,1,Gurgaon,"Suncity Business Tower, Golf Course Road, Gurgaon","Suncity Business Tower, Golf Course Road","Suncity Business Tower, Golf Course Road, Gurgaon",77.1053224,28.4335066,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,178
Baskin Robbins,1,Gurgaon,"Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1","DLF Mega Mall, DLF Phase 1, Gurgaon",77.0930171,28.4757632,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
Culinate,1,Noida,"Shop 6-A, B Block Market, Sector 53, Noida",Sector 53,"Sector 53, Noida",77.365506,28.5913835,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,200
THS - The Hunger Street,1,New Delhi,"G-12, DDA Market, Vikaspuri, New Delhi",Vikaspuri,"Vikaspuri, New Delhi",0.0,0.0,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,49
Giani,1,New Delhi,"Shop 4, BN Market, Shalimar Bagh, New Delhi",Shalimar Bagh,"Shalimar Bagh, New Delhi",77.1624915,28.7065653,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,13
Thugs - Hotel Broadway,1,New Delhi,"Hotel Broadway, 4/15/A, Daryaganj, New Delhi","Hotel Broadway, Daryaganj","Hotel Broadway, Daryaganj, New Delhi",77.2379557,28.6409625,1100,Indian Rupees(Rs.),No,No,No,No,3,3,Orange,Average,72
Sagar Ratna,1,New Delhi,"Plot 22, 1st Floor, Bazar Marg, Rajinder Nagar, New Delhi",Rajinder Nagar,"Rajinder Nagar, New Delhi",77.1865864,28.6428784,600,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,120
Prince Chicken & Mutton Shop,1,New Delhi,"95, Old Rajinder Nagar, Rajinder Nagar, New Delhi",Rajinder Nagar,"Rajinder Nagar, New Delhi",77.1849341,28.6406426,600,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,22
Al Meraj Chicken Shop,1,New Delhi,"249, Rama Market, Munirka Village, Munirka, New Delhi",Munirka,"Munirka, New Delhi",77.1707986,28.5587394,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Anupam Sweets & Restaurant,1,Faridabad,"Sai Plaza, Opposite Sai Dham, Tigaon Road, Sector 86, Faridabad",Sector 86,"Sector 86, Faridabad",77.3396661,28.4087438,450,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,10
Jalapenos,1,Dehradun,"Mussourie Diversion, Pacific Hills,Rajpur Road, Rajpur, Dehradun",Rajpur,"Rajpur, Dehradun",78.07715102,30.37220198,500,Indian Rupees(Rs.),No,No,No,No,3,4,Green,Very Good,68
Chapala,216,Waterloo,"900 La Porte Road, Waterloo, IA 50702",Waterloo,"Waterloo, Waterloo",-92.323032,42.477281,25,Dollar($),No,No,No,No,2,3,Yellow,Good,69
Dilli BC,1,New Delhi,"M-58, Main Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2445203,28.5335082,700,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,267
Kihei Caffe,216,Rest of Hawaii,"1945 S Kihei Road, Kihei, HI 96753",Kihei,"Kihei, Rest of Hawaii",-156.451847,20.731487,10,Dollar($),No,No,No,No,1,4,Dark Green,Excellent,695
Flechazo,1,Bangalore,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore",Marathahalli,"Marathahalli, Bangalore",77.696664,12.97537691,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,983
Villa Shanti,1,Puducherry,"Villa Shanti, 14, Suffren Street, White Town, Puducherry","Villa Shanti, White Town","Villa Shanti, White Town, Puducherry",79.833191,11.929698,1500,Indian Rupees(Rs.),No,No,No,No,4,3,Yellow,Good,535
The Great Kabab Factory - Radisson Hotel,1,Varanasi,"Radisson Hotel, The Mall Road, Nadesar, Varanasi","Radisson Hotel, Nadesar","Radisson Hotel, Nadesar, Varanasi",82.98081,25.338373,1100,Indian Rupees(Rs.),No,No,No,No,4,3,Orange,Average,67
The Nest,1,New Delhi,"Qutab Golf Course, Lado Sarai, New Delhi",Lado Sarai,"Lado Sarai, New Delhi",77.1939597,28.5291758,2200,Indian Rupees(Rs.),Yes,No,No,No,4,3,Yellow,Good,218
Singh Foods,1,Noida,"Opposite Pathway School, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.36533742,28.53922405,700,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,7
Shorts Burger and Shine,216,Cedar Rapids/Iowa City,"18 S Clinton St, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",-91.534424,41.660982,10,Dollar($),No,No,No,No,1,4,Dark Green,Excellent,820
Akbars,215,Manchester,"73-83 Liverpool Road, Spinningfields, Manchester M3 4NQ",Spinningfields,"Spinningfields, Manchester",-2.254833333,53.4765,30,Pounds(ï¿½ï¿½),No,No,No,No,2,4,Green,Very Good,383
Shree Raja Ram,1,New Delhi,"WZ 56, Meenakshi Garden, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.1055523,28.6398129,50,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
